,X,contest,candidate_count,year,contested,choice,party,district
1,1,SENATE DISTRICT 01,2,2000,Yes,"Ronald W. Toppin, Sr.",REP,1
2,2,SENATE DISTRICT 01,2,2000,Yes,Marc Basnight,DEM,1
3,3,SENATE DISTRICT 02,1,2000,No,"Frank W. Ballance, Jr.",DEM,2
4,4,SENATE DISTRICT 03,2,2000,Yes,David G. Hipps,REP,3
5,5,SENATE DISTRICT 03,2,2000,Yes,Scott Thomas,DEM,3
6,6,SENATE DISTRICT 04,2,2000,Yes,Patrick J. Ballantine,REP,4
7,7,SENATE DISTRICT 04,2,2000,Yes,Louise McColl,DEM,4
8,8,SENATE DISTRICT 05,2,2000,Yes,Charles W. Albertson,DEM,5
9,9,SENATE DISTRICT 05,2,2000,Yes,Cynthia (Cindy) B. Watson,REP,5
10,10,SENATE DISTRICT 06,1,2000,No,R. L. (Bob) Martin,DEM,6
11,11,SENATE DISTRICT 07,3,2000,Yes,Thomas R. (Tom) Mattison,REP,7
12,12,SENATE DISTRICT 07,3,2000,Yes,"Luther Henry Jordan, Jr.",DEM,7
13,13,SENATE DISTRICT 07,3,2000,Yes,Stephen Cowles Shepherd,LIB,7
14,14,SENATE DISTRICT 08,2,2000,Yes,Ed Wharton,REP,8
15,15,SENATE DISTRICT 08,2,2000,Yes,John Kerr,DEM,8
16,16,SENATE DISTRICT 09,2,2000,Yes,A. A. (Dick) Adams,REP,9
17,17,SENATE DISTRICT 09,2,2000,Yes,Edward N. Warren,DEM,9
18,18,SENATE DISTRICT 10,2,2000,Yes,A. B. Swindell,DEM,10
19,19,SENATE DISTRICT 10,2,2000,Yes,Richard P. Horner,REP,10
20,20,SENATE DISTRICT 11,2,2000,Yes,"John S. Shallcross, Jr.",REP,11
21,21,SENATE DISTRICT 11,2,2000,Yes,Allen H. Wellons,DEM,11
22,22,SENATE DISTRICT 12,4,2000,Yes,Virginia Foxx,REP,12
23,23,SENATE DISTRICT 12,4,2000,Yes,Philip E. (Phil) Berger,REP,12
24,24,SENATE DISTRICT 12,4,2000,Yes,Vel Pierce,DEM,12
25,25,SENATE DISTRICT 12,4,2000,Yes,Al Wheeler,DEM,12
26,26,SENATE DISTRICT 13,4,2000,Yes,Wib Gulley,DEM,13
27,27,SENATE DISTRICT 13,4,2000,Yes,Wallace Bradsher,REP,13
28,28,SENATE DISTRICT 13,4,2000,Yes,Jeanne H. Lucas,DEM,13
29,29,SENATE DISTRICT 13,4,2000,Yes,Sean Haugh,LIB,13
30,30,SENATE DISTRICT 14,3,2000,Yes,R. Bradley (Brad) Miller,DEM,14
31,31,SENATE DISTRICT 14,3,2000,Yes,John W. Bryant,REP,14
32,32,SENATE DISTRICT 14,3,2000,Yes,Eric Miller Reeves,DEM,14
33,33,SENATE DISTRICT 15,2,2000,Yes,Oscar N. Harris,DEM,15
34,34,SENATE DISTRICT 15,2,2000,Yes,John Hairr,REP,15
35,35,SENATE DISTRICT 16,4,2000,Yes,Ellie Kinnaird,DEM,16
36,36,SENATE DISTRICT 16,4,2000,Yes,Vickie Hargrove,REP,16
37,37,SENATE DISTRICT 16,4,2000,Yes,Howard N. Lee,DEM,16
38,38,SENATE DISTRICT 16,4,2000,Yes,Bill Boyd,REP,16
39,39,SENATE DISTRICT 17,5,2000,Yes,Aaron Plyler,DEM,17
40,40,SENATE DISTRICT 17,5,2000,Yes,Alan R. Light,LIB,17
41,41,SENATE DISTRICT 17,5,2000,Yes,Eddie Goodall,REP,17
42,42,SENATE DISTRICT 17,5,2000,Yes,William R. (Bill) Purcell,DEM,17
43,43,SENATE DISTRICT 17,5,2000,Yes,William P. (Bill) Davis,REP,17
44,44,SENATE DISTRICT 18,2,2000,Yes,"R. C. Soles, Jr.",DEM,18
45,45,SENATE DISTRICT 18,2,2000,Yes,John Evans,LIB,18
46,46,SENATE DISTRICT 19,1,2000,No,Robert G. (Bob) Shaw,REP,19
47,47,SENATE DISTRICT 20,3,2000,Yes,Jeannie A. Metcalf,REP,20
48,48,SENATE DISTRICT 20,3,2000,Yes,Linda Garrou,DEM,20
49,49,SENATE DISTRICT 20,3,2000,Yes,"Hamilton C. Horton, Jr.",REP,20
50,50,SENATE DISTRICT 21,2,2000,Yes,Hugh Webster,REP,21
51,51,SENATE DISTRICT 21,2,2000,Yes,Wiley P. Wooten,DEM,21
52,52,SENATE DISTRICT 22,1,2000,No,"Fletcher L. Hartsell, Jr.",REP,22
53,53,SENATE DISTRICT 23,3,2000,Yes,Lawrence James Clark,LIB,23
54,54,SENATE DISTRICT 23,3,2000,Yes,Cal Cunningham,DEM,23
55,55,SENATE DISTRICT 23,3,2000,Yes,John (Scott) Keadle,REP,23
56,56,SENATE DISTRICT 24,2,2000,Yes,Tony Rand,DEM,24
57,57,SENATE DISTRICT 24,2,2000,Yes,Lois A. Kirby,REP,24
58,58,SENATE DISTRICT 25,1,2000,No,David W. Hoyle,DEM,25
59,59,SENATE DISTRICT 26,1,2000,No,Austin Allran,REP,26
60,60,SENATE DISTRICT 27,2,2000,Yes,Kenneth R. Moore,REP,27
61,61,SENATE DISTRICT 27,2,2000,Yes,John Garwood,REP,27
62,62,SENATE DISTRICT 28,5,2000,Yes,R. L. Clark,REP,28
63,63,SENATE DISTRICT 28,5,2000,Yes,Jesse Ledbetter,REP,28
64,64,SENATE DISTRICT 28,5,2000,Yes,Steve Metcalf,DEM,28
65,65,SENATE DISTRICT 28,5,2000,Yes,Charles Carter,DEM,28
66,66,SENATE DISTRICT 28,5,2000,Yes,Clarence Ervin Young,LIB,28
67,67,SENATE DISTRICT 29,2,2000,Yes,Judith (Judy) C. Fraser,REP,29
68,68,SENATE DISTRICT 29,2,2000,Yes,Dan Robinson,DEM,29
69,69,SENATE DISTRICT 30,2,2000,Yes,David F. Weinstein,DEM,30
70,70,SENATE DISTRICT 30,2,2000,Yes,John Rim,REP,30
71,71,SENATE DISTRICT 31,1,2000,No,William N. (Bill) Martin,DEM,31
72,72,SENATE DISTRICT 32,2,2000,Yes,Kay R. Hagan,DEM,34
73,73,SENATE DISTRICT 32,2,2000,Yes,Wendell Sawyer,REP,34
74,74,SENATE DISTRICT 33,1,2000,No,Charlie Dannelly,DEM,33
75,75,SENATE DISTRICT 34,2,2000,Yes,Jeffrey Ober,REP,34
76,76,SENATE DISTRICT 34,2,2000,Yes,T. L. (Fountain) Odom,DEM,34
77,77,SENATE DISTRICT 35,2,2000,Yes,David Allen,DEM,35
78,78,SENATE DISTRICT 35,2,2000,Yes,Robert (Bob) Rucho,REP,35
79,79,SENATE DISTRICT 36,2,2000,Yes,John H. Carrington,REP,36
80,80,SENATE DISTRICT 36,2,2000,Yes,James C. (Jim) Crew,DEM,36
81,81,SENATE DISTRICT 37,2,2000,Yes,Scott Neisler,REP,37
82,82,SENATE DISTRICT 37,2,2000,Yes,Walter H. Dalton,DEM,37
83,83,SENATE DISTRICT 38,2,2000,Yes,Stan Bingham,REP,38
84,84,SENATE DISTRICT 38,2,2000,Yes,Michael G. Smith,LIB,38
85,85,SENATE DISTRICT 39,1,2000,No,James (Jim) Forrester,REP,39
86,86,SENATE DISTRICT 40,2,2000,Yes,Wayne Johnson,REP,40
87,87,SENATE DISTRICT 40,2,2000,Yes,Daniel Clodfelter,DEM,40
88,88,SENATE DISTRICT 41,1,2000,No,Larry Shaw,DEM,41
89,89,SENATE DISTRICT 42,2,2000,Yes,Lawrence (Larry) R. Gavel,LIB,42
90,90,SENATE DISTRICT 42,2,2000,Yes,Robert C. Carpenter,REP,42
91,1,NC SENATE  (1),2,2002,Yes,Ron Toppin,REP,1
92,2,NC SENATE  (1),2,2002,Yes,Marc Basnight,DEM,1
93,3,NC SENATE  (10),2,2002,Yes,George E. Wilson,REP,10
94,4,NC SENATE  (10),2,2002,Yes,Charles W. (Charlie) Albertson,DEM,10
95,5,NC SENATE  (11),3,2002,Yes,Charles Yow,LIB,11
96,6,NC SENATE  (11),3,2002,Yes,Willie Cooke,REP,11
97,7,NC SENATE  (11),3,2002,Yes,A. B. Swindell,DEM,11
98,8,NC SENATE  (12),2,2002,Yes,Fred Smith,REP,12
99,9,NC SENATE  (12),2,2002,Yes,Allen H. Wellons,DEM,12
100,10,NC SENATE  (13),1,2002,No,David F. Weinstein,DEM,13
101,11,NC SENATE  (14),3,2002,Yes,Vernon Malone,DEM,14
102,12,NC SENATE  (14),3,2002,Yes,Richard Davison,LIB,14
103,13,NC SENATE  (14),3,2002,Yes,Carol Bennett,REP,14
104,14,NC SENATE  (15),3,2002,Yes,Dorothy (Gerry) Bowles,DEM,15
105,15,NC SENATE  (15),3,2002,Yes,John H. Carrington,REP,15
106,16,NC SENATE  (15),3,2002,Yes,Nathan Wilson,LIB,15
107,17,NC SENATE  (16),3,2002,Yes,Eric Miller Reeves,DEM,16
108,18,NC SENATE  (16),3,2002,Yes,Jason Mara,LIB,16
109,19,NC SENATE  (16),3,2002,Yes,Paul Y. Coble,REP,16
110,20,NC SENATE  (17),3,2002,Yes,Thomas B. Hunt,DEM,17
111,21,NC SENATE  (17),3,2002,Yes,Susan Hogarth,LIB,17
112,22,NC SENATE  (17),3,2002,Yes,Richard Stevens,REP,17
113,23,NC SENATE  (18),3,2002,Yes,Mark Kitchens,LIB,18
114,24,NC SENATE  (18),3,2002,Yes,Tom Davidson,REP,18
115,25,NC SENATE  (18),3,2002,Yes,Wib Gulley,DEM,18
116,26,NC SENATE  (19),2,2002,Yes,Tony Rand,DEM,19
117,27,NC SENATE  (19),2,2002,Yes,Bob White,REP,19
118,28,NC SENATE  (2),2,2002,Yes,Scott Thomas,DEM,2
119,29,NC SENATE  (2),2,2002,Yes,Chuck Tyson,REP,2
120,30,NC SENATE  (20),2,2002,Yes,Jonathan Guze,LIB,20
121,31,NC SENATE  (20),2,2002,Yes,Jeanne H. Lucas,DEM,20
122,32,NC SENATE  (21),2,2002,Yes,Richard D. Evans,REP,21
123,33,NC SENATE  (21),2,2002,Yes,Larry Shaw,DEM,21
124,34,NC SENATE  (22),3,2002,Yes,Jonathan Lubecky,LIB,22
125,35,NC SENATE  (22),3,2002,Yes,Jimmy L. Love,DEM,22
126,36,NC SENATE  (22),3,2002,Yes,Harris Blake,REP,22
127,37,NC SENATE  (23),3,2002,Yes,Christopher Todd Goss,LIB,23
128,38,NC SENATE  (23),3,2002,Yes,Peter Morcombe,REP,23
129,39,NC SENATE  (23),3,2002,Yes,Ellie Kinnaird,DEM,23
130,40,NC SENATE  (24),2,2002,Yes,Hugh Webster,REP,24
131,41,NC SENATE  (24),2,2002,Yes,Bill Powell,DEM,24
132,42,NC SENATE  (25),2,2002,Yes,Donald M. Dawkins,REP,25
133,43,NC SENATE  (25),2,2002,Yes,William R. (Bill) Purcell,DEM,25
134,44,NC SENATE  (26),2,2002,Yes,Jim Capo,LIB,26
135,45,NC SENATE  (26),2,2002,Yes,Philip E. (Phil) Berger,REP,26
136,46,NC SENATE  (27),3,2002,Yes,Kay R. Hagan,DEM,27
137,47,NC SENATE  (27),3,2002,Yes,Tom Bailey,LIB,27
